id,title,album,duration,release,label,points,contentLang,singers,music,lyricist,info,image_200,image,image_800,video,gaana_url,saavn_url,wynk_url,hungama_url
4a70e31d470c538c00a1e7008c7db8bb,Vaaste,Vaaste,196,"Apr 06, 2019",T-Series,112,hi,"{'Tanishk Bagchi', 'Dhvani Bhanushali', ""Nikhil D'Souza""}",{''},{'Arafat Mehmood'},"Gulshan Kumar Presents latest Hindi Video Song of 2019 Bhushan Kumar's ""Vaaste"" In the voice of "" Dhvani Bhanushali & Nikhil DâSouza"", composed by ""Tanishk Bagchi "" and the lyrics by ""Arafat Mehmood"".",https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5966090326.jpg,https://a10.gaanacdn.com/gn_img/albums/qa4WEqWP1p/a4WE0DX83P/size_l_1554479538.jpg,https://a10.gaanacdn.com/gn_img/albums/qa4WEqWP1p/a4WE0DX83P/size_xl_1554479538.jpg,https://www.youtube.com/watch?v=BBAyRBTfsOU,https://gaana.com/song/vaaste,https://www.jiosaavn.com/song/vaaste/Nyc0QDpvf1c,https://wynk.in/u/ftxp7sEWS,https://www.hungama.com/song/vaaste/47629037/
8ebff182a99888e1f10584f913a592b4,Bekhayali,Kabir Singh,372,"May 24, 2019",T-Series,141,hi,{'Sachet Tandon'},{'Sachet-Parampara'},{'Irshad Kamil'},"Presenting Bekhayali, In the voice of Arijit Singh. Lyrics by Irshad Kamil and Composed by Mithoon, Amaal Mallik, Vishal Mishra and Sachet-Parampara .The upcoming Bollywood movie Kabir Singh is starring Shahid Kapoor and Kiara Advani.",https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5992117249.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX66Wmr/vKX99k203m/size_l_1558696254.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX66Wmr/vKX99k203m/size_xl_1558696254.jpg,https://www.youtube.com/watch?v=RqiQmj4hlzM,https://gaana.com/song/bekhayali-1,https://www.jiosaavn.com/song/bekhayali/PxwgWUFzBwU,https://wynk.in/u/TrUMSEdsP,https://www.hungama.com/song/bekhayali/48273798/
1b179f27a1c7e547ffc3085d23eab2c0,Duniyaa,Luka Chuppi,223,"Feb 25, 2019",T-Series,76,hi,"{'Bhrigu Parashar', 'Dhvani Bhanushali', 'Akhil'}","{'Abhijit Vaghani', 'Bob'}",{'Kunaal Vermaa'},,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953445742.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_l_1551078085.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_xl_1551078085.jpg,,https://gaana.com/song/duniyaa,https://www.jiosaavn.com/song/duniyaa/El0RfCFqAkA,https://wynk.in/u/K9n2BCjr7,https://www.hungama.com/song/duniyaa/47309655/
bf20e9c6d37dee01b13d805d196a741a,Tujhe Kitna Chahne Lage,Kabir Singh,285,"May 31, 2019",T-Series,121,hi,"{'Arijit Singh', 'Mithoon'}",{'Mithoon'},{'Mithoon'},"Presenting 'Tujhe Kitna Chahne Lage' from the upcoming Bollywood movie Kabir Singh, starring Shahid Kapoor and Kiara Advani. Directed by Sandeep Reddy Vanga. Sung by Arijit Singh and is composed by Mithon.",https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5992117249.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37RKDy7/P371NLRVbD/size_l_1559305408.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37RKDy7/P371NLRVbD/size_xl_1559305408.jpg,https://www.youtube.com/watch?v=3Dg006VuOMk,https://gaana.com/song/tujhe-kitna-chahne-lage,https://www.jiosaavn.com/song/tujhe-kitna-chahne-lage/Ow1SZSRjYlU,https://wynk.in/u/xFWdNJfw7,https://www.hungama.com/song/tujhe-kitna-chahne-lage/48159593/
008f5a07f9226ce00ff80949c57da8e5,Ve Maahi,Kesari,224,"Mar 18, 2019",Zee Music Co.,114,hi,"{'Asees Kaur', 'Arijit Singh'}",{'Tanishk Bagchi'},{'Tanishk Bagchi'},"Presenting the song ""Ve Maahi"" from the upcoming Bollywood movie ""Kesari. The song is sung by Arijit Singh & Asees Kaur, lyrics by Tanishk Bagchi composed by Tanishk Bagchi",https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5960817665.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_l_1552901436.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_xl_1552901436.jpg,https://www.youtube.com/watch?v=j6muwUGdvXw,https://gaana.com/song/ve-maahi-3,https://www.jiosaavn.com/song/ve-maahi/Ix4hQT1CYwo,https://wynk.in/u/B64HeJ2BE,https://www.hungama.com/song/ve-maahi/47412887/
075ebb75e7f72712a658ca9b3cbcf4d2,Slow Motion,Bharat,247,"Apr 25, 2019",T-Series,140,hi,"{'Nakash Aziz', 'Shreya Ghoshal'}",{'Vishal-Shekhar'},{'Irshad Kamil'},"Presenting the song video of ""Slow Motion"" from the upcoming Bollywood movie ""Bharat"". The song is sung by Vishal & Shekhar Feat. Nakash A , Shreya G, lyrics by  Irshad Kamil.",https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5971503656.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOkBKqV/PKOzM706bq/size_l_1556197002.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOkBKqV/PKOzM706bq/size_xl_1556197002.jpg,https://www.youtube.com/watch?v=7TSsfosD0oI,https://gaana.com/song/slow-motion-383,https://www.jiosaavn.com/song/slow-motion/JEUYUEZKUXs,https://wynk.in/u/ilLfg8ud4,https://www.hungama.com/song/slow-motion/47797889/
c03d53b70feba4ea842510abecd6c45e,Photo,Luka Chuppi,177,"Feb 12, 2019",T-Series,47,hi,{'Karan Sehmbi'},"{'Tanishk Bagchi', 'Goldboy'}",{'Nirmaan'},,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953445742.jpg,https://a10.gaanacdn.com/gn_img/song/Rz4W87v3xD/4W820Bj1Kx/size_l_1549901713.jpg,https://a10.gaanacdn.com/gn_img/song/Rz4W87v3xD/4W820Bj1Kx/size_xl_1549901713.jpg,,https://gaana.com/song/photo-50,https://www.jiosaavn.com/song/photo/AhkOdDhURkY,https://wynk.in/u/e7ZeWY2HE,https://www.hungama.com/song/photo/47104984/
a4afb022366d06a98c4198e6ada285bc,Coca Cola,Luka Chuppi,179,"Feb 04, 2019",T-Series,63,hi,"{'Neha Kakkar', 'Tony Kakkar', 'Young Desi'}",,{'Tony Kakkar'},"Presenting the video song ""Coca Cola"" from the upcoming bollywood movie Dinesh Vijan presents  ""Luka Chuppi"". This song is sung by Tony Kakkar and Neha Kakkar.",https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953445742.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa63DV9/vKalNOlXbD/size_l_1549262875.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa63DV9/vKalNOlXbD/size_xl_1549262875.jpg,https://www.youtube.com/watch?v=_cPHiwPqbqo,https://gaana.com/song/coca-cola-38,,https://wynk.in/u/Lq8Irf7Mi,https://www.hungama.com/song/coca-cola/46822488/
83458b89090737d46c6faba468bcc51b,Dilbar,Satyameva Jayate,184,,T-Series,22,hi,{'Dhvani Bhanusali'},,,,,http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1530691835/37260455.jpg,,,,,https://wynk.in/u/rivwoIbSa,
727532824e76e9ca388d1d1f85b45580,Aankh Marey,Simmba,209,,T-Series,21,hi,{'Kumar Sanu'},,,,,http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/AANKH%20MAREY.JPG,,,,,https://wynk.in/u/eypQhxX3x,
